Id,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,FullBath,HalfBath,TotRmsAbvGrd,GarageCars,GarageArea,LotArea,LotFrontage,ExterQual,KitchenQual,BsmtQual,SaleCondition,MoSold,YrSold,SalePrice
893,BrkSide,1Fam,1Story,7,8,1971,1994,1550,1208,629,0,5,2,0,9,3,645,12594,51,Gd,Gd,TA,Abnorml,9,2007,512586
1106,Veenker,1Fam,1.5Fin,10,7,1953,1981,1118,680,734,0,4,1,0,7,1,238,8066,88,TA,Gd,Ex,Normal,1,2010,755000
414,NAmes,TwnhsE,1Story,7,2,1964,1970,1680,908,1112,0,3,2,1,8,1,238,7114,46,Ex,Fa,Gd,Normal,6,2008,568681
523,BrDale,1Fam,1Story,5,5,1937,1964,1674,928,959,0,4,1,0,7,1,166,3372,48,TA,Fa,Gd,Normal,7,2006,276491
1037,CollgCr,1Fam,SFoyer,7,5,1906,1933,1019,743,690,0,5,0,0,8,3,705,9523,109,TA,TA,Gd,Partial,8,2009,490811
615,Landmrk,TwnhsE,1Story,4,8,1939,1978,1344,1041,828,0,4,1,1,8,3,573,9925,40,Gd,Gd,Fa,Normal,10,2010,268982
219,SWISU,1Fam,2Story,7,7,1910,1945,2437,1424,1451,974,3,2,0,8,1,167,13434,73,Gd,Gd,TA,Normal,12,2010,606543
1161,BrkSide,1Fam,2Story,5,3,1960,1980,1556,940,948,622,3,1,0,5,3,453,15728,51,Gd,Gd,TA,Normal,10,2009,307705
650,SawyerW,Duplex,1.5Fin,5,7,1968,1968,1576,746,697,0,5,2,1,10,1,239,7988,78,Gd,TA,TA,Normal,12,2007,444058
888,ClearCr,1Fam,1Story,7,4,1939,1977,1771,1238,975,0,4,2,0,7,0,0,12118,75,TA,Gd,Ex,Normal,7,2009,594101
577,Timber,1Fam,1.5Fin,7,6,1939,1962,1261,647,830,0,2,3,2,8,1,217,8040,93,Fa,TA,TA,Normal,11,2008,407230
1253,Timber,1Fam,1Story,6,6,1929,1951,1349,1132,644,0,4,2,1,7,2,391,2849,111,TA,Gd,NA,Normal,8,2009,273834
1062,BrDale,1Fam,1.5Fin,6,5,1944,1955,1258,1068,584,0,4,2,1,9,1,228,10979,61,TA,Gd,TA,Normal,7,2008,262890
568,NWAmes,Duplex,1Story,8,6,1977,1982,1031,413,628,0,2,1,0,5,2,356,7368,97,TA,TA,Gd,Abnorml,10,2009,529826
1109,Sawyer,1Fam,2Story,8,8,1993,2010,1828,875,1190,731,3,1,1,5,4,822,6418,113,TA,TA,TA,Normal,2,2008,637171
1114,Mitchel,1Fam,SLvl,6,1,1929,1951,1687,768,1023,0,2,1,0,4,2,316,5601,86,TA,Gd,TA,Normal,4,2008,316928
169,NridgHt,1Fam,2Story,8,6,1900,1915,1527,995,782,610,3,1,0,5,2,458,14720,100,TA,Gd,Fa,Normal,8,2008,509964
1103,Landmrk,1Fam,2Story,7,6,1986,1994,1270,892,560,508,5,2,0,9,2,384,13759,89,Gd,TA,Ex,Normal,2,2010,555532
1121,MeadowV,1Fam,1.5Fin,7,6,1880,1882,1500,758,757,0,3,2,0,8,2,339,13413,74,TA,TA,Gd,Normal,11,2007,335039
68,Edwards,1Fam,2Story,8,7,1934,1941,1723,1295,870,689,1,2,1,5,1,210,4115,63,Ex,Gd,Gd,Abnorml,8,2006,683875
1041,NAmes,TwnhsE,2Story,6,7,1919,1953,1412,1012,890,564,5,2,1,8,2,444,17259,74,TA,TA,Ex,Normal,3,2006,478150
454,MeadowV,1Fam,2Story,6,6,1948,1961,833,674,390,333,3,1,1,5,2,563,18434,99,Gd,TA,TA,Normal,2,2009,282267
671,Veenker,1Fam,SFoyer,6,3,1964,1997,1878,1286,1184,0,3,1,1,6,2,445,11096,55,TA,TA,Gd,Normal,11,2008,606864
1095,Somerst,1Fam,2Story,1,8,1999,2010,1721,848,897,688,3,2,0,8,1,252,14239,69,TA,Gd,Gd,Normal,1,2008,387238
193,MeadowV,1Fam,2Story,6,7,1948,1967,1330,898,812,532,3,3,2,7,2,344,17595,113,TA,Gd,NA,Normal,2,2009,197896
124,StoneBr,1Fam,1Story,1,7,1892,1912,917,298,441,0,3,1,0,5,1,241,9044,61,Gd,Gd,TA,Normal,11,2006,232670
416,NWAmes,1Fam,2Story,7,6,1974,2001,1398,953,692,559,3,2,0,6,2,535,7821,86,TA,Gd,Po,Normal,7,2006,362091
278,SWISU,1Fam,1.5Fin,8,9,1883,1903,881,657,449,0,3,2,0,6,0,0,8966,42,Ex,Gd,Gd,Normal,8,2008,492775
434,StoneBr,1Fam,2Story,7,6,1958,1973,1276,436,560,510,3,2,1,6,2,421,10115,57,Ex,TA,TA,Normal,9,2008,755000
1318,OldTown,1Fam,2Story,7,6,1940,1943,1587,584,795,634,3,1,0,7,0,0,15202,69,Ex,TA,TA,Normal,9,2009,446590
185,ClearCr,1Fam,1Story,6,4,1902,1906,1048,844,682,0,4,2,0,7,1,223,4715,37,TA,TA,Gd,Family,1,2009,395821
555,Landmrk,1Fam,1.5Fin,7,9,1992,2010,1777,1486,749,0,2,2,1,7,2,490,9728,43,TA,TA,TA,Normal,10,2007,490051
1174,ClearCr,1Fam,SFoyer,8,5,1969,1978,827,321,418,0,4,2,1,8,2,337,10006,106,Gd,TA,Gd,Normal,8,2008,630998
77,Edwards,1Fam,1Story,8,9,1943,1975,1798,679,951,0,3,2,1,6,2,510,13224,93,TA,Gd,TA,Abnorml,12,2007,456829
907,BrkSide,1Fam,1Story,10,6,1922,1936,1072,807,650,0,3,1,0,7,0,0,4775,56,Gd,Ex,Ex,Normal,12,2007,477665
675,Gilbert,1Fam,1Story,7,6,1989,2001,1538,1107,1044,0,5,2,0,9,2,449,12839,66,Fa,Gd,Gd,Normal,1,2009,593748
1399,SWISU,1Fam,1Story,9,6,1916,1930,2090,1335,949,0,3,1,1,6,1,191,10498,55,Gd,Gd,Ex,Normal,10,2008,755000
375,NridgHt,1Fam,SLvl,9,7,1873,1903,1569,825,741,0,3,1,1,6,2,544,10623,74,TA,TA,Gd,Normal,12,2009,707354
1033,Somerst,1Fam,SLvl,8,6,2002,2010,1436,1159,828,0,3,2,1,6,2,307,7362,53,TA,Gd,Gd,Abnorml,10,2009,755000
